,school_name,address,postal_code,lat,long
0,ADMIRALTY PRIMARY SCHOOL,11   WOODLANDS CIRCLE,738907,1.44267961678131,103.800114351557
1,AHMAD IBRAHIM PRIMARY SCHOOL,10   YISHUN STREET 11,768643,1.43368120674913,103.832924289687
2,AI TONG SCHOOL,100  Bright Hill Drive,579646,1.36073636488519,103.833075654586
3,ALEXANDRA PRIMARY SCHOOL,2A   Prince Charles Crescent,159016,1.29129903505281,103.823940793685
4,ANCHOR GREEN PRIMARY SCHOOL,31   Anchorvale Drive,544969,1.39066247794443,103.887256080733
5,ANDERSON PRIMARY SCHOOL,19   ANG MO KIO AVE 9,569785,1.38466596519595,103.841238418213
6,ANG MO KIO PRIMARY SCHOOL,20   ANG MO KIO AVENUE 3,569920,1.36909206497025,103.839041355537
7,ANGLO-CHINESE SCHOOL (JUNIOR),16   WINSTEDT ROAD,227988,1.30932129705754,103.840518119364
8,ANGLO-CHINESE SCHOOL (PRIMARY),50   BARKER ROAD,309918,1.31871859882709,103.835345168025
9,ANGSANA PRIMARY SCHOOL,3    Tampines Street 22,529366,1.34857143331006,103.951673027853
10,BEACON PRIMARY SCHOOL,36   Bukit Panjang Ring Road,679944,1.38423667692281,103.773754356751
11,BEDOK GREEN PRIMARY SCHOOL,1    BEDOK SOUTH AVE 2,469317,1.32399627634455,103.937745022761
12,BENDEMEER PRIMARY SCHOOL,91   BENDEMEER ROAD,339948,1.32220847517488,103.86535132983
13,BLANGAH RISE PRIMARY SCHOOL,91   TELOK BLANGAH HEIGHTS,109100,1.2761203442885,103.808628381578
14,BOON LAY GARDEN PRIMARY SCHOOL,20   BOON LAY DRIVE,649930,1.34284670750022,103.712969004665
15,BUKIT PANJANG PRIMARY SCHOOL,109  CASHEW ROAD,679676,1.37347219247534,103.76931748391
16,BUKIT TIMAH PRIMARY SCHOOL,111  Lorong Kismis,598112,1.33774986691199,103.766855335531
17,BUKIT VIEW PRIMARY SCHOOL,18   BUKIT BATOK STREET 21,659634,1.34625469092492,103.753303575677
18,CANBERRA PRIMARY SCHOOL,21   ADMIRALTY DRIVE,757714,1.45106400675587,103.815970864699
19,CANOSSA CATHOLIC PRIMARY SCHOOL,1    Sallim Road,387621,1.32686491011011,103.881527745059
20,CANTONMENT PRIMARY SCHOOL,1    Cantonment Close,88256,1.27547252842189,103.839962634468
21,CASUARINA PRIMARY SCHOOL,30   PASIR RIS ST 41,518935,1.37278901646361,103.957291273316
22,CEDAR PRIMARY SCHOOL,15   CEDAR AVENUE,349700,1.33564122297683,103.875491278982
23,CHANGKAT PRIMARY SCHOOL,11   SIMEI ST 3,529896,1.34020800809176,103.952183401477
24,CHIJ (KATONG) PRIMARY,17   MARTIA ROAD,424821,1.30652686240001,103.910921580015
25,CHIJ (KELLOCK),1    Bukit Teresa Road,99757,1.27484459976547,103.828069566486
26,CHIJ OUR LADY OF GOOD COUNSEL,2C   Burghley Drive,558979,1.3579514268227,103.86425016247
27,CHIJ OUR LADY OF THE NATIVITY,1257 UPPER SERANGOON ROAD,534793,1.37317401669511,103.897659384616
28,CHIJ OUR LADY QUEEN OF PEACE,4    Chestnut Drive,679287,1.36675801448842,103.767694820161
29,CHIJ PRIMARY (TOA PAYOH),628  Lorong 1 Toa Payoh,319765,1.33281815279666,103.841918376501
30,CHONGFU SCHOOL,170  YISHUN AVENUE 6,768959,1.43846231168609,103.839070707702
31,CHONGZHENG PRIMARY SCHOOL,1    TAMPINES STREET 21,529392,1.35059476908513,103.951225249062
32,CHUA CHU KANG PRIMARY SCHOOL,20   CHOA CHU KANG AVENUE 2,689905,1.37760828302592,103.741270440945
33,CLEMENTI PRIMARY SCHOOL,8    CLEMENTI AVE 3,129903,1.31580856291998,103.76305484091
34,COMPASSVALE PRIMARY SCHOOL,21   COMPASSVALE ST,545091,1.39444529527052,103.897812236976
35,CONCORD PRIMARY SCHOOL,3    CHOA CHU KANG AVE 4,689814,1.38041151250887,103.736142792506
36,CORPORATION PRIMARY SCHOOL,31   JURONG WEST STREET 24,648347,1.35148549046355,103.7075783976
37,DAMAI PRIMARY SCHOOL,52   BEDOK RESERVOIR CRESCENT,479226,1.33535131498901,103.921268322538
38,DAZHONG PRIMARY SCHOOL,35   BUKIT BATOK STREET 31,659441,1.35906257616675,103.748122250254
39,DE LA SALLE SCHOOL,11   Choa Chu Kang St 52,689285,1.39507191622878,103.743443644259
40,EAST SPRING PRIMARY SCHOOL,31   TAMPINES ST 33,529258,1.35277013841942,103.961743139539
41,EDGEFIELD PRIMARY SCHOOL,41   EDGEFIELD PLAINS,828869,1.40029783476902,103.907430522021
42,ELIAS PARK PRIMARY SCHOOL,11   PASIR RIS STREET 52,518866,1.37503303189649,103.94535776821
